   0.00000000       1.00000000       0.00000000    
   7.5000000000000000        1.0000000000000000        0.0000000000000000        0.0000000000000000     
   7.5200000000000005        1.0000000000000000        0.0000000000000000        0.0000000000000000     
   7.5400000000000000       0.99944048528751284        0.0000000000000000        4.4761176998973088E-004
   7.5600000000000005       0.99776179912922169        4.0000000000000002E-004   1.7905606966226451E-003
   7.5800000000000001       0.99608484714064216        1.1999999999999999E-003   3.1321222874862720E-003
   7.6000000000000005       0.99329246510199676        2.3986883017920431E-003   5.3660279184025942E-003
   7.6200000000000001       0.99050372649519280        3.9960648976621431E-003   7.5970188038457570E-003
   7.6400000000000006       0.98660702918287169        5.9895109730210292E-003   1.0714376653702652E-002
   7.6600000000000001       0.98271604789342093        8.3790269663972135E-003   1.3827161685263257E-002
   7.6799999999999997       0.97772828433423964        1.1160696403451374E-002   1.7817372532608289E-002
   7.7000000000000002       0.97274845791739573        1.4334521012352490E-002   2.1801233666083421E-002
   7.7199999999999998       0.96668669260566142        1.7895301032430512E-002   2.6650645915470863E-002
   7.7400000000000002       0.96063521630882798        2.1843040617451150E-002   3.1491826952937618E-002
   7.7599999999999998       0.95352026015363467        2.6171276052455835E-002   3.7183791877092268E-002
   7.7800000000000002       0.94641805497244291        3.0880015226124349E-002   4.2865556022045670E-002
   7.7999999999999998       0.93827438045073353        3.5961554799265001E-002   4.9380495639413186E-002
   7.8200000000000003       0.93014600549575588        4.1415907739425092E-002   5.5883195603395303E-002
   7.8399999999999999       0.92100164639000415        4.7234160445581194E-002   6.3198682887996682E-002
   7.8600000000000003       0.91187519596367583        5.3416332187668038E-002   7.0499843229059334E-002
   7.8799999999999999       0.90176163213442018        5.9952333523974895E-002   7.8590694292463861E-002
   7.9000000000000004       0.89166861798854669        6.6842190962023013E-002   8.6665105609162657E-002
   7.9199999999999999       0.88062064570140675        7.4074678714677086E-002   9.5503483438874603E-002
   7.9400000000000004       0.86959586501437192        8.1649830997026995E-002  0.10432330798850248     
   7.9600000000000000       0.85765145340825744        8.9555330247017353E-002  0.11387883727339405     
   7.9800000000000004       0.84573284308737395        9.7791218210195430E-002  0.12341372553010084     
   8.0000000000000000       0.83293297743502170       0.10634413517889209       0.13365361805198264     
   8.0199999999999996       0.82016145541305463       0.11521412942222903       0.14387083566955630     
   8.0400000000000009       0.80654996788646860       0.12438685373770808       0.15476002569082514     
   8.0600000000000005       0.79296926214187835       0.13386236090214954       0.16562459028649734     
   8.0800000000000001       0.77859265085338170       0.14362537582901741       0.17712587931729465     
   8.0999999999999996       0.76424911694095288       0.15367595260646508       0.18860070644723770     
   8.1200000000000010       0.74915635408506920       0.16399795274596074       0.20067491673194465     
   8.1400000000000006       0.73409878201700585       0.17459142711056599       0.21272097438639534     
   8.1600000000000001       0.71834111198897010       0.18543944304406396       0.22532711040882392     
   8.1799999999999997       0.70262052335593950       0.19654204216436774       0.23790358131524841     
   8.1999999999999993       0.68625125176900970       0.20788157148226455       0.25099899858479224     
   8.2200000000000006       0.66992068803573079       0.21945805574311922       0.26406344957141537     
   8.2400000000000002       0.65299496260136358       0.23125319987263207       0.27760402991890915     
   8.2599999999999998       0.63610926555188807       0.24326700240862259       0.29111258755848957     
   8.2799999999999994       0.61868384982400471       0.25548060862842314       0.30505292014079627     
   8.3000000000000007       0.60129943516759787       0.26789397974617879       0.31896045186592170     
   8.3200000000000003       0.58343247618439054       0.28048778775317201       0.33325401905248758     
   8.3399999999999999       0.56560710136366377       0.29326194359867180       0.34751431890906903     
   8.3599999999999994       0.54735789224747444       0.30619673597273384       0.36211368620202045     
   8.3800000000000008       0.52915041951597142       0.31929201078157021       0.37667966438722289     
   8.4000000000000004       0.51057915811356713       0.33252776667779677       0.39153667350914634     
   8.4199999999999999       0.49204931397020579       0.34590376793148236       0.40636054882383538     
   8.4399999999999995       0.47321685863214230       0.35939981931654158       0.42142651309428614     
   8.4600000000000009       0.45442499071464870       0.37301558511640132       0.43646000742828106     
   8.4800000000000004       0.43539261432326903       0.38673077485601609       0.45168590854138480     
   8.5000000000000000       0.41639944687192115       0.40054493281805664       0.46688044250246308     
   8.5199999999999996       0.39722859023282658       0.41443777391649200       0.48221712781373882     
   8.5400000000000009       0.37809497923941293       0.42840870088592481       0.49752401660846968     
   8.5600000000000005       0.35884700495094812       0.44243753617564685       0.51292239603924150     
   8.5800000000000001       0.33963369410582595       0.45652351805846786       0.52829304471533922     
   8.5999999999999996       0.32036964201525892       0.47064667963887841       0.54370428638779289     
   8.6200000000000010       0.30113702055779973       0.48480607065006792       0.55909038355376028     
   8.6400000000000006       0.28191736590150906       0.49898203837836663       0.57446610727879277     
   8.6600000000000001       0.26272522946610571       0.51317341901184066       0.58981981642711545     
   8.6799999999999997       0.24360964477429717       0.52736097735658916       0.60511228418056229     
   8.7000000000000011       0.22451696030558002       0.54154331039095549       0.62038643175553609     
   8.7200000000000006       0.20556408212997196       0.55570170296973243       0.63554873429602243     
   8.7400000000000002       0.18662875791706779       0.56983448683608806       0.65069699366634581     
   8.7599999999999998       0.16789595941276000       0.58392356797267497       0.66568323246979200     
   8.7799999999999994       0.14917462126349323       0.59796698682607707       0.68066030298920543     
   8.8000000000000007       0.13071779162405409       0.61194736947975170       0.69542576670075684     
   8.8200000000000003       0.11226556616612279       0.62586243933445407       0.71018754706710174     
   8.8399999999999999        9.4138897874003188E-002  0.63969563877412117       0.72468888170079748     
   8.8599999999999994        7.6009203931579838E-002  0.65344434908408167       0.73919263685473613     
   8.8800000000000008        5.8264988744523141E-002  0.66709292170297307       0.75338800900438152     
